year,month,Project Name,Street Name,Developer,Property Type,Locality,Total Number of Units in Project,Cumulative Units Launched to-date,Cumulative Units Sold to-date,Cumulative Units Launched but Unsold,Units Launched in the Month,Units Sold in the Month,Median Price($psm) # in the Month Number Sold By Price Range,Lowest Price ($psm) # in the Month,Highest Price ($psm) # in the Month
2010,08,ORCHARD VIEW,ANGULLIA PARK,Bestbilt Pte Ltd,Non-Landed,CCR,30,9,9,0,2,2,"34,380","31,797","36,964"
2010,08,PALMERA RESIDENCE,LORONG N TELOK KURAU,World Class Capital (LN) Pte Ltd,Non-Landed,OCR,38,38,38,0,0,0,-,-,-
2010,08,PALMS @ SIXTH AVENUE,SIXTH AVENUE,MCL Land (Serangoon) Pte Ltd,Strata-Landed,CCR,32,0,0,0,0,0,-,-,-
2010,08,PARC ASTON,LEICESTER ROAD,Whye Wah Development & Construction Pte Ltd,Non-Landed,RCR,16,16,9,7,0,0,-,-,-
2010,08,PARC CENTENNIAL,KAMPONG JAVA ROAD,EL Development (Newton) Pte Ltd,Non-Landed,CCR,51,51,51,0,0,0,-,-,-
2010,08,PARC ELEGANCE,TELOK KURAU ROAD,Fragrance Realty Pte Ltd,Non-Landed,OCR,157,112,78,34,45,16,"13,358","13,003","14,348"
2010,08,PARC IMPERIAL,PASIR PANJANG ROAD,Fragrance Properties Pte Ltd,Non-Landed,RCR,138,138,138,0,0,0,-,-,-
2010,08,PARC MONDRIAN,WOODLEIGH CLOSE,Bukit Sembawang View Pte Ltd,Non-Landed,RCR,100,100,100,0,0,0,-,-,-
2010,08,PARC SEABREEZE,JOO CHIAT ROAD,Grovehill Pte Ltd,Non-Landed,RCR,94,94,81,13,0,0,-,-,-
2010,08,PARC SOMME,SOMME ROAD,Oxley Ascend Capital Pte Ltd,Non-Landed,RCR,30,30,30,0,0,0,-,-,-
2010,08,PARC SOPHIA,ADIS ROAD,Oxley Ventures Pte Ltd,Non-Landed,CCR,152,152,152,0,0,0,-,-,-
