year,month,Project Name,Street Name,Developer,Property Type,Locality,Total Number of Units in Project,Cumulative Units Launched to-date,Cumulative Units Sold to-date,Cumulative Units Launched but Unsold,Units Launched in the Month,Units Sold in the Month,Median Price($psm) # in the Month Number Sold By Price Range,Lowest Price ($psm) # in the Month,Highest Price ($psm) # in the Month
2007,08,JLB RESIDENCES,JALAN LOYANG BESAR,Springlife JLB Pte Ltd,Non-Landed,OCR,36,36,35,1,0,0,-,-,-
2007,08,KING'S 8,KING'S ROAD,Longitude Central Pte Ltd,Strata-Landed,CCR,8,0,0,0,0,0,-,-,-
2007,08,KOVANA,KOVAN ROAD,Vandar Properties Pte Ltd,Non-Landed,OCR,18,4,4,0,0,0,-,-,-
2007,08,LA CASA,WOODLANDS DRIVE 16,Tanglin View Pte Ltd,Exec Condo,OCR,444,398,320,78,0,8,"5,791","5,274","6,157"
2007,08,LANDED HOUSING DEVELOPMENT,HIGHLAND ROAD,Fragrance Land Pte Ltd,Landed,OCR,12,12,12,0,0,0,-,-,-
2007,08,LANDED HOUSING DEVELOPMENT,HOLLAND PARK,Lion (S) Pte Ltd,Landed,CCR,8,5,5,0,0,0,-,-,-
2007,08,LANDED HOUSING DEVELOPMENT,HUA GUAN AVENUE,DDS Development Pte Ltd,Strata-Landed,RCR,6,0,0,0,0,0,-,-,-
2007,08,LANDED HOUSING DEVELOPMENT,JALAN DAUD/JALAN ISHAK,Papageno Investment Pte Ltd,Landed,OCR,6,0,0,0,0,0,-,-,-
2007,08,LANDED HOUSING DEVELOPMENT,JALAN PEMIMPIN/MARYMOUNT TERRACE,Soon Lian Realty Pte Ltd,Landed,RCR,23,10,8,2,0,0,-,-,-
2007,08,LANDED HOUSING DEVELOPMENT,JALAN SELAMAT/JALAN KRIAN,Odeon Leasing Pte Ltd,Landed,OCR,6,6,4,2,0,0,-,-,-
2007,08,LANDED HOUSING DEVELOPMENT,MOUNT ROSIE,One Mount Rosie Pte Ltd,Strata-Landed,CCR,12,12,12,0,0,0,-,-,-
2007,08,LANDED HOUSING DEVELOPMENT,PEIRCE ROAD,Far East Land And Housing Development Co Pte Ltd,Landed,CCR,6,0,0,0,0,0,-,-,-
2007,08,LANDED HOUSING DEVELOPMENT,SIGLAP HILL,Galaxy Ventures Pte Ltd,Strata-Landed,OCR,6,6,1,5,0,0,-,-,-
2007,08,LANDED HOUSING DEVELOPMENT,SWETTENHAM ROAD,Glaxton Trading Pte Ltd,Landed,CCR,7,5,5,0,0,0,-,-,-
2007,08,LANDED HOUSING DEVELOPMENT,WHITLEY ROAD,Tiong Aik Development Pte Ltd,Landed,CCR,6,6,6,0,0,0,-,-,-
2007,08,LANDED HOUSING DEVELOPMENT,YIO CHU KANG ROAD,Novelty Pte Ltd,Strata-Landed,OCR,36,36,36,0,0,0,-,-,-
2007,08,LATITUDE,JALAN MUTIARA,Phoenix Realty Pte Ltd,Non-Landed,CCR,127,0,0,0,0,0,-,-,-
2007,08,LE MERRITT,LORONG M TELOK KURAU,Primelot Properties Pte Ltd,Non-Landed,OCR,23,23,19,4,0,0,-,-,-
2007,08,LE REVE,SIMS AVENUE EAST/KAMPONG EUNOS,Hong Leong Holdings Ltd,Non-Landed,OCR,65,65,65,0,0,0,-,-,-
2007,08,LEONIE PARC VIEW,LEONIE HILL ROAD,SB (Orchard) Development Pte Ltd,Non-Landed,CCR,44,44,30,14,0,1,"35,026","35,026","35,026"
2007,08,LORNIE 18,LORNIE ROAD,Clydesbuilt Capital Pte Ltd,Strata-Landed,CCR,18,18,3,15,0,0,-,-,-
2007,08,LUCIDA,SUFFOLK ROAD,Novelty Organisation Pte Ltd,Non-Landed,CCR,62,0,0,0,0,0,-,-,-
2007,08,LUMA,RIVER VALLEY GROVE,Novelty Holdings Pte Ltd,Non-Landed,CCR,75,75,3,72,72,0,-,-,-
2007,08,LUMIERE,MISTRI ROAD/PARSI ROAD,BS Shenton Pte Ltd,Non-Landed,CCR,168,100,97,3,0,1,"18,040","18,040","18,040"
2007,08,LYNNSVILLE 331,PASIR PANJANG ROAD,Kim Leong Development Pte Ltd,Strata-Landed,RCR,19,19,19,0,0,0,-,-,-
2007,08,M21,MANDALAY ROAD,Fortune Capital Pte Ltd,Non-Landed,CCR,61,61,61,0,61,61,"15,070","14,736","15,371"
2007,08,MACKENZIE 88,MACKENZIE ROAD,Galaxy Homes Pte Ltd,Non-Landed,CCR,55,55,55,0,0,0,-,-,-
2007,08,MACKENZIE REGENCY,MACKENZIE ROAD,Wah Khiaw Properties Pte Ltd,Non-Landed,CCR,19,19,17,2,0,0,-,-,-
2007,08,MARINA BAY RESIDENCES,MARINA BOULEVARD,Marina Bay Residences Pte Ltd,Non-Landed,CCR,428,428,428,0,0,0,-,-,-
2007,08,MARLENE VILLE,MARLENE AVENUE,Fong Tat Holding Co Pte Ltd,Strata-Landed,OCR,17,17,17,0,0,0,-,-,-
2007,08,MAYA,STILL ROAD,Novelty Department Store Pte Ltd,Non-Landed,RCR,13,13,3,10,13,3,"12,906","12,379","15,457"
2007,08,MEDALLION,BRADDELL ROAD,Heritage @ Braddell Pte Ltd,Strata-Landed,OCR,16,16,14,2,0,0,-,-,-
2007,08,MEDGE,MINBU ROAD,Macly Pte Ltd,Non-Landed,CCR,44,44,44,0,0,0,-,-,-
2007,08,MERA EAST,LORONG 110 CHANGI,MCL Land (Serangoon) Pte Ltd,Non-Landed,OCR,52,52,52,0,0,0,-,-,-
2007,08,MERA SPRINGS,CARLISLE ROAD/NORFOLK ROAD,MCL Land (Property Management) Pte Ltd,Non-Landed,RCR,129,129,129,0,0,0,-,-,-
2007,08,MEYER RESIDENCE,MEYER PLACE,Meyer Development Pte Ltd,Non-Landed,RCR,68,68,68,0,0,0,-,-,-
2007,08,MILFORD VILLAS,LORONG SELANGAT,Fortune Land Pte Ltd,Strata-Landed,OCR,13,13,13,0,0,0,-,-,-
2007,08,"MIMOSA TERRACE (PH 4,PH 6)",MIMOSA ROAD/SARACA ROAD,Singapore United Estates Pte Ltd,Landed,OCR,83,83,83,0,0,0,-,-,-
2007,08,MINT RESIDENCES @ JANSEN,JANSEN ROAD,Jansville Capital Pte Ltd,Non-Landed,OCR,18,18,8,10,0,0,-,-,-
2007,08,MIRO,LINCOLN ROAD,Arts Associate Co Pte Ltd,Non-Landed,CCR,85,0,0,0,0,0,-,-,-
2007,08,MONT TIMAH,BUKIT WAY,Maylands Investment Pte Ltd,Strata-Landed,OCR,32,0,0,0,0,0,-,-,-
2007,08,MONTEBLEU,MINBU ROAD,SB (Blueteak) Development Pte Ltd,Non-Landed,CCR,151,151,151,0,0,0,-,-,-
2007,08,MONTVIEW,MOUNT SINAI DRIVE,HBO Investments Pte Ltd,Non-Landed,CCR,115,115,115,0,0,0,-,-,-
2007,08,MURANO,PASIR PANJANG ROAD,Novelty Global Pte Ltd,Non-Landed,RCR,50,50,50,0,0,0,-,-,-
2007,08,NATHAN RESIDENCES,NATHAN ROAD,Tat Aik Property Pte Ltd,Non-Landed,CCR,91,0,0,0,0,0,-,-,-
2007,08,NEWTON ONE,NEWTON ROAD,HKCL Investments Pte Ltd,Non-Landed,CCR,91,91,90,1,0,0,-,-,-
2007,08,NEWTON SUITES,NEWTON ROAD,UOL Development (Novena) Pte Ltd,Non-Landed,CCR,118,118,118,0,0,0,-,-,-
2007,08,NOMU,HANDY ROAD,Handy Investments Pte Ltd,Non-Landed,CCR,50,50,49,1,0,0,-,-,-
2007,08,NORTHWOOD,JALAN MATA AYER,UIC Investment Pte Ltd,Non-Landed,OCR,140,140,140,0,0,0,-,-,-
2007,08,NOVELIS,SINARAN DRIVE,Novena Capital Pte Ltd,Non-Landed,CCR,24,24,24,0,0,0,-,-,-
2007,08,OASIS GARDEN,JALAN BUNGA RAMPAI,Peak Homes Development Pte Ltd,Non-Landed,RCR,134,134,40,94,134,40,"9,332","7,255","10,764"
2007,08,ONE @ PULASAN,PULASAN ROAD/KOON SENG ROAD,Endo Realty Pte Ltd,Non-Landed,RCR,31,31,28,3,0,1,"10,366","10,366","10,366"
2007,08,ONE AMBER,AMBER GARDENS,Brendale Pte Ltd,Non-Landed,RCR,562,562,562,0,0,0,-,-,-
2007,08,ONE DEVONSHIRE,DEVONSHIRE ROAD,Devonshire Peak Pte Ltd,Non-Landed,CCR,152,0,0,0,0,0,-,-,-
2007,08,ONE JERVOIS,JERVOIS CLOSE,FCL Joo Chiat Place Pte Ltd,Non-Landed,CCR,275,275,275,0,0,0,-,-,-
2007,08,ONE LEICESTER,LEICESTER ROAD/JLN TOA PAYOH/WOODSVILLE CLOSE,FCL Rise Pte Ltd,Non-Landed,RCR,194,194,194,0,0,0,-,-,-
2007,08,ONE LYNWOOD,LYNWOOD GROVE/BRADDELL ROAD,McRidge Investment Pte Ltd,Strata-Landed,OCR,8,8,7,1,0,0,-,-,-
2007,08,ONE OXLEY RISE,OXLEY RISE,Oxley Lights Development Pte Ltd,Non-Landed,CCR,89,89,89,0,0,0,-,-,-
2007,08,ONE ROBIN,ROBIN ROAD,Popular Land Pte Ltd,Non-Landed,CCR,14,0,0,0,0,0,-,-,-
2007,08,ONE SHENTON,SHENTON WAY,CDL Land Pte Ltd,Non-Landed,CCR,341,341,312,29,0,0,-,-,-
2007,08,ONE ST MICHAEL'S,SERANGOON ROAD/ST. MICHAEL'S ROAD,FCL Lodge Pte Ltd,Non-Landed,RCR,131,131,131,0,0,0,-,-,-
2007,08,ONE TREE HILL RESIDENCE,ONE TREE HILL,SB (Grange) Development Pte Ltd,Non-Landed,CCR,48,48,48,0,0,0,-,-,-
2007,08,ONE-NORTH RESIDENCES,ONE NORTH GATEWAY,Vista Development Pte Ltd,Non-Landed,RCR,405,405,405,0,0,0,-,-,-
2007,08,ORANGE GROVE RESIDENCES,ORANGE GROVE ROAD,Pacific Rover Pte Ltd,Non-Landed,CCR,60,60,56,4,0,0,-,-,-
2007,08,ORCHARD SCOTTS,ANTHONY RD,Golden Development Pte Ltd,Non-Landed,CCR,387,180,33,147,0,0,-,-,-
2007,08,ORCHARD VIEW,ANGULLIA PARK,Bestbilt Pte Ltd,Non-Landed,CCR,30,0,0,0,0,0,-,-,-
2007,08,ORION,ORANGE GROVE ROAD,Aquila Development Pte Ltd,Non-Landed,CCR,46,41,41,0,0,0,-,-,-
2007,08,OWEN 88,OWEN ROAD,Ming Teik Co Pte Ltd,Non-Landed,RCR,12,12,0,12,0,0,-,-,-
2007,08,OXFORD SUITES,OXFORD ROAD,Oxford Development Pte Ltd,Non-Landed,RCR,60,60,60,0,0,0,-,-,-
2007,08,PALM GROVE REGENCY,PALM GROVE AVENUE,Fragrance Land Pte Ltd,Strata-Landed,OCR,20,20,20,0,0,0,-,-,-
2007,08,PALM LOFT,JOO CHIAT TERRACE,World Class Land Pte Ltd,Non-Landed,RCR,16,16,16,0,0,0,-,-,-
2007,08,PALM OASIS,LORONG H TELOK KURAU,World Class Property Pte Ltd,Non-Landed,OCR,56,56,56,0,0,0,-,-,-
2007,08,PALM VISTA,LORONG G TELOK KURAU,World Class Land Pte Ltd,Non-Landed,OCR,32,32,32,0,0,0,-,-,-
2007,08,PARADISE ISLAND,"PARADISE ISLAND, SENTOSA COVE",Ho Bee Homes Pte Ltd,Landed,CCR,29,29,28,1,0,0,-,-,-
2007,08,PARC EMILY,MOUNT EMILY ROAD,TC Development Pte Ltd,Non-Landed,CCR,295,295,295,0,0,0,-,-,-
2007,08,PARC MONDRIAN,WOODLEIGH CLOSE,Bukit Sembawang View Pte Ltd,Non-Landed,RCR,100,100,100,0,0,0,-,-,-
2007,08,PARK INFINIA AT WEE NAM,KENG LEE ROAD/LINCOLN ROAD/WEE NAM ROAD,Keppel Land Realty Pte Ltd,Non-Landed,CCR,486,486,434,52,0,0,-,-,-
2007,08,PARKVIEW ECLAT,GRANGE ROAD,Stream Ahead Pte Ltd,Non-Landed,CCR,35,35,23,12,0,0,-,-,-
2007,08,PATERSON LINC,PATERSON ROAD,Green Aces Paterson Pte Ltd,Non-Landed,CCR,35,35,35,0,12,12,"28,697","28,395","29,300"
2007,08,PATERSON RESIDENCE,PATERSON ROAD,First Capital Realty Pte Ltd,Non-Landed,CCR,110,110,110,0,0,0,-,-,-
2007,08,PATERSON SUITES,PATERSON ROAD/LENGKOK ANGSA,Bukit Sembawang View Pte Ltd,Non-Landed,CCR,102,20,19,1,0,3,"34,908","34,488","41,441"
2007,08,PAVILION 11,AKYAB ROAD/MINBU ROAD,UOL Development (Novena) Pte Ltd,Non-Landed,CCR,180,180,180,0,0,0,-,-,-
2007,08,PAVILION PARK (PHASE 2),PAVILION CIRCLE,Bukit Batok Development Pte Ltd,Landed,OCR,311,0,0,0,0,0,-,-,-
2007,08,PAVILION PARK (PHASES 1C & 1D),PAVILION CIRCLE,Bukit Batok Development Pte Ltd,Landed,OCR,80,43,42,1,0,0,-,-,-
2007,08,PHILLIPS RESIDENCE,PHILLIPS AVENUE,Agrow Development Pte Ltd,Strata-Landed,OCR,6,6,6,0,0,0,-,-,-
2007,08,PLATINUM EDGE,LEICESTER ROAD,Novelty Land Pte Ltd,Non-Landed,RCR,51,51,51,0,0,0,-,-,-
2007,08,POSHGROVE EAST,EAST COAST ROAD/LORONG N TELOK KURAU,Poshgrove Pte Ltd,Non-Landed,OCR,76,76,56,20,0,0,-,-,-
2007,08,PRESTIGE RESIDENCE,LORONG G TELOK KURAU,Fragrance Land Pte Ltd,Non-Landed,OCR,16,16,16,0,0,0,-,-,-
2007,08,PRISTINE HEIGHTS,MERGUI ROAD,Fragrance Properties Pte Ltd,Non-Landed,RCR,60,60,58,2,0,3,"11,442","11,410","12,508"
2007,08,QUINTERRA,HOLLAND ROAD,Pacific Rover Pte Ltd,Non-Landed,CCR,55,55,55,0,0,0,-,-,-
2007,08,RADIANCE @ BUKIT TIMAH,YUK TONG AVENUE,Bukit Timah View Property Pte Ltd,Strata-Landed,RCR,17,0,0,0,0,0,-,-,-
2007,08,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Keppel Bay Pte Ltd,Non-Landed,RCR,1129,580,575,5,0,18,"18,880","16,275","27,319"
2007,08,REGENCY SUITES,KIM TIAN ROAD,Regency One Development Pte Ltd,Non-Landed,RCR,84,84,84,0,0,0,-,-,-
2007,08,RESIDENCES @ EVELYN,EVELYN ROAD,City Developments Ltd,Non-Landed,CCR,208,208,208,0,0,0,-,-,-
2007,08,RESIDENCES @ JANSEN,JANSEN ROAD,Ascender Investment Pte Ltd,Non-Landed,OCR,18,18,18,0,0,0,-,-,-
2007,08,RESIDENCES @ SOMME,PETAIN ROAD,Splott Pte Ltd,Non-Landed,RCR,28,28,19,9,0,1,"9,526","9,526","9,526"
2007,08,RESIDENCES @ STANGEE,LORONG STANGEE,Fortune Development Pte Ltd,Landed,RCR,14,14,1,13,14,1,"8,977","8,977","8,977"
2007,08,RESIDENTIAL APARTMENTS,GEYLANG ROAD,Lee Weng Lee Pte Ltd,Non-Landed,RCR,4,0,0,0,0,0,-,-,-
2007,08,RHAPSODY ON MOUNT ELIZABETH,MOUNT ELIZABETH,Cairnhill Development Pte Ltd,Non-Landed,CCR,32,32,32,0,0,0,-,-,-
2007,08,RIVAGE,MARGATE ROAD,Aurum Land Pte Ltd,Non-Landed,RCR,17,0,0,0,0,0,-,-,-
2007,08,RIVEREDGE,KAMPONG KAYU ROAD,Riveredge Development Pte Ltd,Non-Landed,RCR,135,135,135,0,0,0,-,-,-
2007,08,RIVERGATE,MARTIN ROAD,Riverwalk Promenade Pte Ltd,Non-Landed,CCR,545,545,542,3,0,0,-,-,-
2007,08,RIVERIA GARDENS,RIVER VALLEY GROVE,I.Contemporary Living Pte Ltd,Non-Landed,CCR,49,16,13,3,0,12,"25,123","24,736","25,823"
2007,08,RIVERSIDE 48,ROBERTSON QUAY,Tuan Huat Development Pte Ltd,Non-Landed,CCR,70,70,59,11,0,0,-,-,-
2007,08,RIVIERA RESIDENCES,RIVIERA DRIVE,Riviera Properties Pte Ltd,Non-Landed,OCR,138,138,138,0,0,0,-,-,-
2007,08,ROBERTSON BLUE,ROBERTSON QUAY,HPL Investments (1990) Pte Ltd,Non-Landed,CCR,36,36,36,0,0,0,-,-,-
2007,08,ROBERTSON EDGE,TONG WATT ROAD,CSA Venture Pte Ltd,Non-Landed,CCR,70,70,70,0,0,0,-,-,-
2007,08,ROSYTH RESIDENCE,ROSYTH ROAD,Alphaland International Pte Ltd,Non-Landed,OCR,16,16,16,0,0,0,-,-,-
2007,08,SCOTTS HIGHPARK,SCOTTS ROAD,Leonie Court Pte Ltd,Non-Landed,CCR,73,73,73,0,0,0,-,-,-
2007,08,SCOTTS SQUARE,SCOTTS ROAD,Wheelock Properties (Singapore) Ltd,Non-Landed,CCR,338,170,162,8,0,20,"44,165","40,150","47,394"
2007,08,SHANGHAI ONE,SHANGHAI ROAD,CES-Shanghai Pte Ltd,Non-Landed,CCR,52,52,52,0,0,0,-,-,-
2007,08,SIMS DORADO,LORONG 39 GEYLANG,Bravo Building Construction Pte Ltd,Non-Landed,RCR,35,35,35,0,0,0,-,-,-
2007,08,SKY@ELEVEN,THOMSON LANE,Times Development Pte Ltd,Non-Landed,CCR,273,273,273,0,0,0,-,-,-
2007,08,SKYPARK,ST THOMAS WALK,TG (2003) Pte Ltd,Non-Landed,CCR,56,56,38,18,0,0,-,-,-
2007,08,SOHO 188,RACE COURSE ROAD,Macly Assets Pte Ltd,Non-Landed,RCR,49,49,49,0,0,0,-,-,-
2007,08,SOLEIL @ SINARAN,SINARAN DRIVE,Riverside Investments Pte Ltd,Non-Landed,CCR,417,417,394,23,417,394,"15,188","11,937","19,860"
2007,08,SOMMERVILLE REGENCY,LORONG SELANGAT,Wah Khiaw Developments Pte Ltd,Strata-Landed,OCR,15,15,15,0,0,1,"7,266","7,266","7,266"
2007,08,SOUTHBANK,NORTH BRIDGE ROAD,Kings & Queens Development Pte Ltd,Non-Landed,RCR,197,197,197,0,0,0,-,-,-
2007,08,ST PATRICK'S LOFT,ST. PATRICK'S ROAD,Roxy Homes Pte Ltd,Non-Landed,OCR,37,37,37,0,0,0,-,-,-
2007,08,ST REGIS RESIDENCES SINGAPORE,TANGLIN ROAD/TOMLINSON ROAD/CUSCADEN ROAD,Richmond Hotel Pte Ltd,Non-Landed,CCR,173,173,157,16,0,0,-,-,-
2007,08,ST THOMAS SUITES,ST THOMAS WALK,FCL Tower Pte Ltd,Non-Landed,CCR,176,176,176,0,0,0,-,-,-
2007,08,SUFFOLK PREMIER,KENG LEE ROAD/SUFFOLK ROAD,Springlife Development Pte Ltd,Non-Landed,CCR,41,41,35,6,0,0,-,-,-
2007,08,SUI GENERIS,BALMORAL CRESCENT,Balmoral Development Pte Ltd,Non-Landed,CCR,40,0,0,0,0,0,-,-,-
2007,08,SUITES @ CAIRNHILL,ANTHONY ROAD,Hoi Hup Realty Pte Ltd,Non-Landed,CCR,48,48,48,0,0,0,-,-,-
2007,08,SUITES @ SURREY,SURREY ROAD,Springlife Land Pte Ltd,Non-Landed,CCR,20,20,20,0,0,0,-,-,-
2007,08,SUN CREST,ST MICHAEL'S ROAD,Came Enterprises Pte Ltd,Non-Landed,RCR,83,0,0,0,0,0,-,-,-
2007,08,SUNCOTTAGES,CASHEW CRESCENT,Lucky Realty Co Pte Ltd,Strata-Landed,OCR,23,0,0,0,0,0,-,-,-
2007,08,SUNFLOWER REGENCY,LORONG 20 GEYLANG,Fragrance Properties Pte Ltd,Non-Landed,RCR,14,0,0,0,0,0,-,-,-
2007,08,SUNSHINE GRANDEUR,LORONG K TELOK KURAU,Fragrance Land Pte Ltd,Non-Landed,OCR,18,18,18,0,0,0,-,-,-
2007,08,SYLVAN LODGE,HOLLAND ROAD,First Century Development Pte Ltd,Non-Landed,CCR,8,0,0,0,0,0,-,-,-
2007,08,TERESA 8,BUKIT TERESA CLOSE,Aston Holdings Pte Ltd,Strata-Landed,RCR,11,11,11,0,0,0,-,-,-
2007,08,TESSA LODGE,MOUNTBATTEN ROAD,Ohayo International Pte Ltd,Non-Landed,RCR,13,13,13,0,0,0,-,-,-
2007,08,THE ACACIAS,SOMMERVILLE ROAD,Acacias Development Pte Ltd,Non-Landed,OCR,65,65,65,0,0,0,-,-,-
2007,08,THE AMARELLE,LIM AH WOO ROAD,Ecco Properties Pte Ltd,Non-Landed,RCR,60,60,42,18,0,7,"10,915","10,280","11,507"
2007,08,THE AMBIENCE,PONGGOL SEVENTEENTH AVENUE,DB2 Development Pte Ltd,Strata-Landed,OCR,11,0,0,0,0,0,-,-,-
2007,08,THE ARC AT DRAYCOTT,DRAYCOTT DRIVE,BS Draycott Pte Ltd,Non-Landed,CCR,58,58,55,3,0,0,-,-,-
2007,08,THE ARIZON,GEYLANG ROAD,Ranesis Development Pte Ltd,Non-Landed,RCR,12,12,6,6,0,0,-,-,-
2007,08,THE AXIS,MANDALAY ROAD,Novelty Asia Pte Ltd,Non-Landed,CCR,52,52,52,0,0,0,-,-,-
2007,08,THE AZURE,OCEAN DRIVE (SENTOSA COVE),FCL View Pte Ltd,Non-Landed,CCR,116,116,116,0,0,0,-,-,-
2007,08,THE BALE,LORONG H TELOK KURAU,Hoi Hup J.V. Development Pte Ltd,Non-Landed,OCR,36,36,36,0,0,0,-,-,-
2007,08,THE BEACON,CANTONMENT ROAD,Cantonment Realty Pte Ltd,Non-Landed,RCR,124,124,124,0,0,0,-,-,-
2007,08,THE BEACON EDGE,TEMBELING ROAD,Heritage Realty Pte Ltd,Non-Landed,RCR,32,0,0,0,0,0,-,-,-
2007,08,THE BELVEDERE,MEYER ROAD,Sherwood Development Pte Ltd,Non-Landed,RCR,167,167,167,0,0,0,-,-,-
2007,08,THE CALROSE,YIO CHU KANG ROAD,Best Peak Pte Ltd,Non-Landed,OCR,421,421,421,0,0,0,-,-,-
2007,08,THE CASCADIA,BUKIT TIMAH ROAD,Boonridge Pte Ltd,Non-Landed,RCR,536,162,162,0,162,162,"16,437","11,173","17,631"
2007,08,THE CENTRIO,IRRAWADDY ROAD,SB (Raintree) Development Pte Ltd,Non-Landed,RCR,53,53,53,0,0,0,-,-,-
2007,08,THE CENTRIS,JURONG WEST CENTRAL 3 & JURONG WEST STREET 64,Prime Point Realty Development Pte Ltd,Non-Landed,OCR,610,610,610,0,0,0,-,-,-
2007,08,THE CHUAN,LORONG CHUAN,Peak Residence Development Pte Ltd,Non-Landed,OCR,106,106,106,0,0,0,-,-,-
2007,08,THE CITRINE,JALAN DATOH,Tiong Aik Investments Pte Ltd,Non-Landed,RCR,54,54,54,0,0,0,-,-,-
2007,08,THE CLIFT,MCCALLUM STREET,Natwest Development Pte Ltd,Non-Landed,CCR,312,252,230,22,0,2,"22,551","21,754","23,347"
2007,08,THE COAST AT SENTOSA COVE,OCEAN DRIVE (SENTOSA COVE),Ho Bee Cove Pte Ltd,Non-Landed,CCR,249,249,249,0,0,0,-,-,-
2007,08,THE COSMOPOLITAN,RIVER VALLEY ROAD/KIM SENG ROAD,Belgravia Properties Pte Ltd,Non-Landed,CCR,228,228,228,0,0,0,-,-,-
2007,08,THE ELEMENT @ STEVENS,STEVENS ROAD,Heeton Land Pte Ltd,Non-Landed,CCR,17,17,12,5,0,0,-,-,-
2007,08,THE ESPIRA,LORONG L TELOK KURAU,World Class Land Pte Ltd,Non-Landed,OCR,40,40,40,0,0,0,-,-,-
2007,08,THE ESTA,AMBER GARDENS,Richdeal Pte Ltd,Non-Landed,RCR,400,400,400,0,0,0,-,-,-
2007,08,THE ESTIVA,PASIR PANJANG ROAD,Wong Swee Chun Contractor Pte Ltd,Non-Landed,RCR,33,33,33,0,0,0,-,-,-
2007,08,THE FERNHILL,FERNHILL ROAD/STEVENS ROAD/ORANGE GROVE ROAD,Superport Pte Ltd,Non-Landed,CCR,25,25,25,0,0,0,-,-,-
2007,08,THE FOLIAGE,PASIR PANJANG ROAD,Hoi Hup J. V. Development Pte Ltd,Non-Landed,RCR,88,88,88,0,0,0,-,-,-
2007,08,THE FORD @ HOLLAND,FORD AVENUE,Hoi Hup Realty Pte Ltd,Strata-Landed / Non-Landed,CCR,85,85,85,0,0,0,-,-,-
2007,08,THE GRANGE,GRANGE GARDEN,Grange Development Pte Ltd,Non-Landed,CCR,95,95,95,0,0,0,-,-,-
2007,08,THE GREENWOOD (PHASE 4),GREENWOOD AVENUE,Golden Development Pte Ltd,Landed,CCR,80,37,37,0,0,0,-,-,-
2007,08,THE GREENWOOD (PHASE 5),GREENWOOD AVENUE,Golden Development Pte Ltd & Astoria Park Pte Ltd,Strata-Landed,CCR,54,0,0,0,0,0,-,-,-
2007,08,THE INFINITI,WEST COAST PARK,FCL Court Pte Ltd,Non-Landed,OCR,315,315,315,0,0,0,-,-,-
2007,08,THE INSPIRA,ARNASALAM CHETTY ROAD/NARAYANAN CHETTY ROAD,Meadows Bright Development Pte Ltd,Non-Landed,CCR,120,120,117,3,0,0,-,-,-
2007,08,THE LAKESHORE,BOON LAY WAY,Lakeshore Pte Ltd,Non-Landed,OCR,848,848,547,301,0,6,"8,461","7,599","10,194"
2007,08,THE LINEAR,UPPER BUKIT TIMAH ROAD,Creative Investments Pte Ltd,Non-Landed,OCR,221,221,142,79,0,1,"7,029","7,029","7,029"
2007,08,THE LUMOS,LEONIE HILL,Buildhome Pte Ltd,Non-Landed,CCR,53,53,19,34,0,5,"35,887","33,401","40,935"
2007,08,THE MARQ ON PATERSON HILL,PATERSON HILL,Grandon Pte Ltd,Non-Landed,CCR,66,25,25,0,1,1,"56,640","56,640","56,640"
2007,08,THE MARQUE @ IRRAWADDY,IRRAWADDY ROAD,Roxy Homes Pte Ltd,Non-Landed,RCR,48,48,45,3,0,0,-,-,-
2007,08,THE MAYLEA,PASIR PANJANG ROAD,Hoi Hup J. V. Development Pte Ltd,Non-Landed,RCR,88,88,88,0,0,0,-,-,-
2007,08,THE MEDLEY,LORONG G TELOK KURAU,Roxy Homes Pte Ltd,Non-Landed,OCR,37,37,37,0,0,0,-,-,-
2007,08,THE MERLOT,KENG LEE ROAD,Fragrance Properties Pte Ltd,Non-Landed,RCR,42,42,42,0,0,0,-,-,-
2007,08,THE METROPOLITAN CONDOMINIUM,ALEXANDRA ROAD/TIONG BAHRU ROAD,Tanglin Residential Pte Ltd,Non-Landed,RCR,382,382,382,0,0,0,-,-,-
2007,08,THE MIDAS,LORONG 30 GEYLANG,Sustained Development Pte Ltd,Non-Landed,RCR,28,28,27,1,0,0,-,-,-
2007,08,THE MINT RESIDENCES,JOO CHIAT TERRACE,Oaktree Properties Pte Ltd,Non-Landed,RCR,24,24,23,1,0,0,-,-,-
2007,08,THE MONTAGE,LORONG M TELOK KURAU,Roxy Homes Pte Ltd,Non-Landed,OCR,33,33,32,1,0,0,-,-,-
2007,08,THE NCLAVE,LORONG N TELOK KURAU,Roxy Homes Pte Ltd,Non-Landed,OCR,30,30,30,0,0,0,-,-,-
2007,08,THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE (SENTOSA COVE),TC Development Pte Ltd,Non-Landed,CCR,264,264,264,0,0,0,-,-,-
2007,08,THE ORANGE GROVE,STEVENS ROAD/ORANGE GROVE ROAD,Ho Bee Developments Pte Ltd,Non-Landed,CCR,72,0,0,0,0,0,-,-,-
2007,08,THE ORCHARD RESIDENCES,ORCHARD BOULEVARD,Orchard Turn Residential Development Pte Ltd/Orchard Turn Retail Investment Pte Ltd,Non-Landed,CCR,175,127,125,2,1,2,"54,832","50,451","59,202"
2007,08,THE PARC CONDOMINIUM,WEST COAST WALK,CES-West Coast Pte Ltd,Non-Landed,OCR,659,659,659,0,659,659,"9,365","7,255","11,367"
2007,08,THE PEAK@BALMEG,BALMEG HILL,Maxgrowth Pte Ltd,Non-Landed,RCR,180,0,0,0,0,0,-,-,-
